Order_ID,Order_Date,State,Region,Product,Category,Customer_Type,Quantity,Unit_Price,Sales,Profit,Discount_%,Payment_Mode
70066,05-07-2023,Missouri,Central,Headphones,Accessories,Retail,4,30126,120504,-2819,6.04,Net Banking
70067,18-08-2023,Florida,South,Monitor,Electronics,Corporate,9,18803,169227,20889,11.58,Net Banking
70068,26-11-2023,Georgia,South,Laptop,Electronics,Corporate,3,2387,7161,772,19.52,UPI
70069,11-05-2023,Washington,West,Tablet,Electronics,Retail,2,33944,67888,2803,13.61,Credit Card
70070,25-03-2023,Virginia,East,Mouse,Accessories,Online,6,54599,327594,7779,19.17,UPI
70071,22-01-2023,Indiana,Central,Keyboard,Accessories,Retail,6,30455,182730,31496,4.37,UPI
70072,30-04-2023,Wisconsin,Central,Tablet,Electronics,Corporate,6,23431,140586,24017,28.31,Debit Card
70073,09-03-2023,Tennessee,South,Laptop,Electronics,Retail,6,57741,346446,36611,27.98,Credit Card
70074,23-07-2023,Ohio,Central,Monitor,Electronics,Retail,4,45269,181076,44480,13.65,Net Banking
70075,17-02-2023,Virginia,East,Monitor,Electronics,Online,1,7803,7803,1351,5.43,Debit Card
70076,30-09-2023,Indiana,Central,Keyboard,Accessories,Retail,5,51755,258775,24260,29,Credit Card
70077,13-01-2023,Pennsylvania,East,Headphones,Accessories,Corporate,8,55719,445752,114408,24.13,Debit Card
70078,16-12-2023,New York,East,Keyboard,Accessories,Retail,4,2388,9552,2854,0.3,UPI
70079,18-04-2023,Arizona,West,Laptop,Electronics,Retail,7,33826,236782,48811,23.09,Credit Card
70080,22-08-2023,California,West,Tablet,Electronics,Corporate,10,32883,328830,55235,25.35,Debit Card
70081,29-11-2023,Maryland,East,Keyboard,Accessories,Corporate,8,15653,125224,319,18.61,Debit Card
70082,20-11-2023,North Carolina,South,Monitor,Electronics,Retail,3,10352,31056,8694,16.52,UPI
70083,21-04-2023,North Carolina,South,Laptop,Electronics,Retail,7,47188,330316,87061,30,Credit Card
70084,23-05-2023,North Carolina,South,Mobile,Electronics,Corporate,1,18181,18181,5003,27.24,Credit Card
70085,05-05-2023,Ohio,Central,Monitor,Electronics,Online,1,3028,3028,894,25.76,Credit Card
70086,04-10-2023,Virginia,East,Monitor,Electronics,Online,9,1124,10116,1000,0.24,Debit Card
70087,06-11-2023,California,West,Keyboard,Accessories,Online,1,42026,42026,8294,0.78,Net Banking
70088,12-11-2023,Missouri,Central,Headphones,Accessories,Retail,1,25404,25404,1196,7.95,UPI
70089,05-02-2023,Tennessee,South,Mobile,Electronics,Online,8,44321,354568,55053,4.87,Credit Card
70090,01-11-2023,California,West,Tablet,Electronics,Retail,8,42218,337744,11605,24.84,Net Banking
70091,18-09-2023,Florida,South,Headphones,Accessories,Corporate,9,46685,420165,117068,16.81,Net Banking
70092,27-10-2023,Missouri,Central,Laptop,Electronics,Retail,5,19998,99990,24666,22.02,UPI
70093,08-09-2023,Tennessee,South,Laptop,Electronics,Retail,11,6222,68442,15489,15.71,UPI
70094,24-02-2023,Ohio,Central,Headphones,Accessories,Online,9,20779,187011,-4354,17.02,UPI
70095,13-02-2023,Virginia,East,Mouse,Accessories,Retail,1,34922,34922,3310,9.65,Net Banking
70096,04-08-2023,Washington,West,Mobile,Electronics,Retail,9,41172,370548,33528,27.67,Net Banking
70097,09-02-2023,Georgia,South,Headphones,Accessories,Retail,10,16241,162410,15786,25.49,Credit Card
70098,12-05-2023,Arizona,West,Laptop,Electronics,Corporate,11,15633,171963,49259,19.11,UPI
70099,02-12-2023,Tennessee,South,Tablet,Electronics,Retail,9,4545,40905,10906,14.32,Net Banking
70100,13-10-2023,North Carolina,South,Mobile,Electronics,Corporate,7,42430,297010,51944,19.61,UPI
70101,17-05-2023,Virginia,East,Mobile,Electronics,Corporate,3,4985,14955,4191,5.76,UPI
70102,24-02-2023,Indiana,Central,Headphones,Accessories,Retail,11,55874,614614,20910,27.23,Net Banking
70103,16-06-2023,Massachusetts,East,Mouse,Accessories,Retail,10,21873,218730,28662,2.07,UPI
70104,18-07-2023,New Jersey,East,Keyboard,Accessories,Corporate,2,30930,61860,2389,3.82,Debit Card
70105,30-05-2023,California,West,Mouse,Accessories,Retail,8,11217,89736,10297,14.97,Debit Card
70106,14-02-2023,Michigan,Central,Mobile,Electronics,Retail,2,22365,44730,8006,22.42,UPI
70107,16-05-2023,Illinois,Central,Keyboard,Accessories,Retail,11,48246,530706,39827,17.88,Credit Card
70108,29-07-2023,California,West,Mobile,Electronics,Corporate,7,53731,376117,24500,27.22,Net Banking
70109,17-07-2023,North Carolina,South,Mobile,Electronics,Retail,4,38223,152892,25628,8.01,Net Banking
70110,11-04-2023,Texas,South,Laptop,Electronics,Retail,4,2696,10784,232,24.98,Net Banking
70111,30-06-2023,Missouri,Central,Monitor,Electronics,Retail,9,1693,15237,-551,9.14,Credit Card
70112,19-06-2023,New York,East,Monitor,Electronics,Retail,8,21487,171896,39240,10.09,Debit Card
70113,30-01-2023,Washington,West,Monitor,Electronics,Corporate,2,20565,41130,10279,17.13,Debit Card
70114,10-10-2023,Arizona,West,Tablet,Electronics,Corporate,9,53450,481050,50456,12.26,Debit Card
70115,17-11-2023,Ohio,Central,Mobile,Electronics,Online,6,48310,289860,54006,19.65,Debit Card
70116,10-09-2023,California,West,Tablet,Electronics,Corporate,10,40088,400880,96981,15.51,UPI
70117,10-07-2023,Virginia,East,Mobile,Electronics,Corporate,9,20724,186516,-4319,18.18,Credit Card
70118,03-08-2023,Michigan,Central,Headphones,Accessories,Corporate,3,43125,129375,22576,6.15,Credit Card
70119,15-08-2023,Indiana,Central,Keyboard,Accessories,Retail,9,7902,71118,-943,0.94,Debit Card
70120,13-01-2023,Arizona,West,Headphones,Accessories,Retail,10,1255,12550,2823,4.67,Debit Card
70121,15-05-2023,Ohio,Central,Tablet,Electronics,Retail,6,6224,37344,3564,28.31,UPI
70122,17-04-2023,Massachusetts,East,Mobile,Electronics,Corporate,3,39602,118806,5362,21.72,UPI
70123,21-04-2023,Texas,South,Keyboard,Accessories,Retail,5,3774,18870,469,6.59,Debit Card
70124,16-12-2023,Missouri,Central,Keyboard,Accessories,Corporate,5,35902,179510,-4117,20.25,Net Banking
70125,23-08-2023,Washington,West,Headphones,Accessories,Retail,8,56493,451944,61850,24.45,Net Banking
70126,18-01-2023,Ohio,Central,Headphones,Accessories,Corporate,7,8294,58058,1383,0.81,UPI
70127,06-01-2023,Washington,West,Laptop,Electronics,Retail,6,36320,217920,10780,28.37,Debit Card
70128,02-12-2023,Massachusetts,East,Headphones,Accessories,Corporate,8,15426,123408,29928,26.32,Net Banking
70129,19-02-2023,New Jersey,East,Headphones,Accessories,Corporate,4,37850,151400,34571,7.2,Net Banking
70130,29-11-2023,Washington,West,Mobile,Electronics,Online,8,10425,83400,4858,7.25,Credit Card
70131,16-04-2023,Florida,South,Tablet,Electronics,Online,6,36811,220866,64635,20.41,Debit Card
70132,02-07-2023,Indiana,Central,Tablet,Electronics,Online,5,35405,177025,-3621,1.87,UPI
70133,25-06-2023,Missouri,Central,Mobile,Electronics,Retail,10,19854,198540,30458,10.61,Debit Card
70134,29-03-2023,Wisconsin,Central,Mouse,Accessories,Corporate,5,18114,90570,5377,24.99,Net Banking
70135,30-05-2023,Wisconsin,Central,Laptop,Electronics,Retail,5,55153,275765,43447,27.45,Net Banking
70136,18-09-2023,Florida,South,Mobile,Electronics,Corporate,3,4300,12900,1070,3.78,Credit Card
70137,18-03-2023,Pennsylvania,East,Monitor,Electronics,Online,6,56585,339510,26211,5.39,Credit Card
70138,22-08-2023,Arizona,West,Keyboard,Accessories,Retail,8,6289,50312,9089,17.18,Credit Card
70139,28-11-2023,Wisconsin,Central,Headphones,Accessories,Retail,8,18633,149064,42554,16.01,Net Banking
70140,20-09-2023,Texas,South,Mouse,Accessories,Corporate,5,54268,271340,23738,7.61,Net Banking
70141,14-08-2023,Georgia,South,Headphones,Accessories,Online,1,33640,33640,9081,4.75,Debit Card
70142,27-03-2023,Indiana,Central,Laptop,Electronics,Retail,7,22701,158907,20465,15.01,UPI
70143,08-06-2023,Indiana,Central,Monitor,Electronics,Corporate,3,23661,70983,20457,8.22,Credit Card
70144,30-12-2023,Wisconsin,Central,Tablet,Electronics,Retail,7,3219,22533,5085,20.18,UPI
70145,09-11-2023,Maryland,East,Headphones,Accessories,Online,3,37704,113112,28464,29.83,Debit Card
70146,04-11-2023,Massachusetts,East,Mouse,Accessories,Retail,3,58201,174603,26526,27.7,UPI
70147,05-09-2023,North Carolina,South,Mobile,Electronics,Retail,11,23617,259787,71355,7.4,Credit Card
70148,03-07-2023,Missouri,Central,Keyboard,Accessories,Retail,11,30540,335940,94055,7.68,Debit Card
70149,02-05-2023,California,West,Monitor,Electronics,Retail,6,32180,193080,37599,22.57,Credit Card
70150,18-03-2023,Arizona,West,Mobile,Electronics,Retail,8,35518,284144,17890,3.3,Net Banking
70151,19-07-2023,Florida,South,Monitor,Electronics,Corporate,4,4406,17624,-254,29.32,UPI
70152,27-03-2023,Missouri,Central,Monitor,Electronics,Online,4,57361,229444,5725,14.05,Debit Card
70153,06-07-2023,New York,East,Monitor,Electronics,Retail,3,54601,163803,42704,25.92,UPI
70154,25-10-2023,Virginia,East,Mobile,Electronics,Retail,3,33004,99012,18927,15.47,Credit Card
70155,19-08-2023,Pennsylvania,East,Keyboard,Accessories,Corporate,3,25896,77688,15191,21.25,Debit Card
70156,27-10-2023,Tennessee,South,Mobile,Electronics,Corporate,2,36243,72486,3264,4.04,Credit Card
70157,12-11-2023,Wisconsin,Central,Mobile,Electronics,Corporate,10,18090,180900,14884,29.51,Net Banking
70158,05-12-2023,Washington,West,Laptop,Electronics,Corporate,5,47165,235825,34312,8.75,Credit Card
70159,05-03-2023,Pennsylvania,East,Laptop,Electronics,Corporate,8,35166,281328,55332,4.87,Credit Card
70160,05-02-2023,Michigan,Central,Laptop,Electronics,Online,5,31326,156630,6277,10.57,UPI
70161,19-03-2023,California,West,Tablet,Electronics,Online,7,8902,62314,-2642,6.81,Credit Card
70162,16-10-2023,Maryland,East,Mouse,Accessories,Online,2,29280,58560,17556,21.72,Credit Card
70163,28-04-2023,Virginia,East,Monitor,Electronics,Retail,7,53236,372652,15026,12.84,Debit Card
70164,04-08-2023,Virginia,East,Mobile,Electronics,Corporate,1,28577,28577,2256,29.47,Credit Card
70165,11-06-2023,Texas,South,Tablet,Electronics,Corporate,4,45078,180312,44096,2.21,Net Banking
70166,15-02-2023,Washington,West,Keyboard,Accessories,Retail,3,2203,6609,1282,26.83,Net Banking
70167,27-04-2023,Massachusetts,East,Mouse,Accessories,Online,9,58198,523782,7508,9.28,Debit Card
70168,15-02-2023,Virginia,East,Laptop,Electronics,Online,8,24173,193384,52703,8.98,Net Banking
70169,28-12-2023,Ohio,Central,Laptop,Electronics,Retail,2,38330,76660,2893,29.59,Credit Card
70170,12-02-2023,Missouri,Central,Mobile,Electronics,Retail,8,59302,474416,3749,21.57,Credit Card
70171,19-12-2023,Illinois,Central,Tablet,Electronics,Retail,3,13558,40674,9733,24.98,Debit Card
70172,18-10-2023,New Jersey,East,Mobile,Electronics,Corporate,1,56495,56495,-1307,21.99,Debit Card
70173,06-04-2023,Missouri,Central,Laptop,Electronics,Retail,8,13974,111792,10168,9.92,UPI
70174,03-07-2023,Ohio,Central,Headphones,Accessories,Online,10,29198,291980,-14539,0.4,UPI
70175,19-08-2023,Wisconsin,Central,Monitor,Electronics,Corporate,11,59157,650727,178287,24.34,Credit Card
70176,23-09-2023,Arizona,West,Mobile,Electronics,Retail,6,1466,8796,1710,26.83,Credit Card
70177,27-09-2023,Illinois,Central,Headphones,Accessories,Corporate,3,45323,135969,26568,7.36,Net Banking
70178,08-12-2023,Texas,South,Mobile,Electronics,Corporate,7,6567,45969,11799,25.7,UPI
70179,02-01-2023,Michigan,Central,Laptop,Electronics,Online,10,14661,146610,38468,13.03,Credit Card
70180,15-10-2023,Massachusetts,East,Keyboard,Accessories,Corporate,5,10054,50270,10023,12.4,Credit Card
70181,28-07-2023,Michigan,Central,Tablet,Electronics,Corporate,1,52195,52195,3682,13.15,UPI
70182,18-02-2023,Illinois,Central,Tablet,Electronics,Retail,7,57324,401268,7694,11.05,Net Banking
70183,03-06-2023,Michigan,Central,Monitor,Electronics,Corporate,11,56596,622556,23196,24.68,Credit Card
70184,11-06-2023,Massachusetts,East,Mouse,Accessories,Retail,1,1416,1416,-58,26.99,Debit Card
70185,13-09-2023,New Jersey,East,Tablet,Electronics,Retail,11,44806,492866,146846,15.61,Debit Card
70186,05-12-2023,Ohio,Central,Mouse,Accessories,Corporate,3,46931,140793,12944,5.31,Net Banking
70187,06-03-2023,Michigan,Central,Mobile,Electronics,Retail,8,52820,422560,-10134,1.02,Net Banking
70188,11-11-2023,North Carolina,South,Mobile,Electronics,Online,6,59276,355656,103979,17.03,Net Banking
70189,24-09-2023,New York,East,Mobile,Electronics,Retail,5,22187,110935,33225,13.16,Net Banking
70190,28-01-2023,Tennessee,South,Keyboard,Accessories,Online,2,43369,86738,8176,26.05,Credit Card
70191,06-06-2023,Florida,South,Mouse,Accessories,Retail,11,17375,191125,3565,26.03,Net Banking
70192,09-01-2023,Massachusetts,East,Headphones,Accessories,Corporate,7,19646,137522,6280,6.26,Credit Card
70193,05-09-2023,New York,East,Mouse,Accessories,Retail,7,45753,320271,42370,16.19,Credit Card
70194,11-04-2023,North Carolina,South,Laptop,Electronics,Retail,9,46743,420687,26864,27.26,Credit Card
70195,12-09-2023,California,West,Mouse,Accessories,Retail,1,24442,24442,-344,5.72,Credit Card
70196,07-11-2023,Georgia,South,Headphones,Accessories,Retail,4,31174,124696,11848,7.01,Net Banking
70197,26-10-2023,Missouri,Central,Tablet,Electronics,Corporate,5,33396,166980,41464,10.38,UPI
70198,15-12-2023,California,West,Keyboard,Accessories,Online,2,17414,34828,1336,19.2,Net Banking
70199,08-01-2023,Florida,South,Keyboard,Accessories,Retail,1,46210,46210,7505,2.49,Net Banking
70200,30-08-2023,Illinois,Central,Mouse,Accessories,Retail,10,45802,458020,47582,8.41,Credit Card
70201,24-05-2023,Maryland,East,Mobile,Electronics,Corporate,1,44939,44939,12459,1.31,Net Banking
70202,09-05-2023,Maryland,East,Mouse,Accessories,Corporate,3,32425,97275,26280,26.46,UPI
70203,30-07-2023,Florida,South,Mouse,Accessories,Retail,4,38540,154160,26441,23.95,Credit Card
70204,20-08-2023,Washington,West,Tablet,Electronics,Retail,4,33192,132768,16462,10.52,Net Banking
70205,26-06-2023,North Carolina,South,Keyboard,Accessories,Corporate,8,26525,212200,25944,25.67,Debit Card
70206,14-02-2023,California,West,Laptop,Electronics,Corporate,1,59148,59148,2388,15.43,Debit Card
70207,10-01-2023,Michigan,Central,Mouse,Accessories,Corporate,8,26746,213968,58609,1.52,UPI
70208,30-10-2023,North Carolina,South,Mobile,Electronics,Retail,9,23508,211572,4427,16.38,Debit Card
70209,26-06-2023,New York,East,Monitor,Electronics,Corporate,11,35289,388179,115126,23.92,UPI
70210,08-05-2023,California,West,Keyboard,Accessories,Online,4,59345,237380,25930,1.45,Credit Card
70211,06-01-2023,Maryland,East,Laptop,Electronics,Retail,5,28411,142055,1411,25.03,Debit Card
70212,25-05-2023,North Carolina,South,Mouse,Accessories,Corporate,3,18354,55062,1113,11.37,Net Banking
70213,12-01-2023,Ohio,Central,Monitor,Electronics,Retail,3,48049,144147,2898,2.67,Debit Card
70214,29-12-2023,North Carolina,South,Mouse,Accessories,Retail,2,6437,12874,2668,29.27,Credit Card
70215,10-06-2023,Indiana,Central,Mouse,Accessories,Corporate,1,11696,11696,2721,12.03,UPI
70216,24-10-2023,Illinois,Central,Keyboard,Accessories,Corporate,7,35088,245616,23844,7.48,Debit Card
70217,06-02-2023,Wisconsin,Central,Keyboard,Accessories,Corporate,8,59077,472616,60431,8.72,Credit Card
70218,11-03-2023,New York,East,Monitor,Electronics,Retail,3,12298,36894,-1566,4.78,UPI
70219,30-12-2023,New Jersey,East,Laptop,Electronics,Online,8,38787,310296,13940,21.67,Debit Card
70220,04-04-2023,Washington,West,Mobile,Electronics,Online,2,24450,48900,10953,5.03,Credit Card
70221,19-02-2023,Illinois,Central,Mobile,Electronics,Corporate,11,963,10593,618,17.23,UPI
70222,14-11-2023,Washington,West,Keyboard,Accessories,Retail,10,7080,70800,1887,7.01,Net Banking
70223,12-08-2023,Georgia,South,Keyboard,Accessories,Corporate,5,48520,242600,36149,4.97,Net Banking
70224,16-05-2023,Michigan,Central,Laptop,Electronics,Corporate,5,41287,206435,37865,22,Debit Card
70225,03-04-2023,Illinois,Central,Tablet,Electronics,Online,4,33812,135248,14564,28.93,Credit Card
70226,11-11-2023,Washington,West,Keyboard,Accessories,Online,5,26708,133540,10405,9.85,Credit Card
70227,28-06-2023,Ohio,Central,Mouse,Accessories,Corporate,10,6342,63420,17766,15.21,Credit Card
70228,26-06-2023,Indiana,Central,Monitor,Electronics,Online,5,37209,186045,27183,18.9,Net Banking
70229,01-12-2023,Washington,West,Mouse,Accessories,Retail,8,7768,62144,5756,26.09,Debit Card
70230,17-02-2023,Georgia,South,Mouse,Accessories,Retail,7,27631,193417,-6460,25.58,UPI
70231,07-05-2023,Wisconsin,Central,Monitor,Electronics,Retail,1,33191,33191,-596,19.52,Net Banking
70232,31-07-2023,Ohio,Central,Tablet,Electronics,Corporate,2,9701,19402,2768,1.13,Net Banking
70233,16-04-2023,Tennessee,South,Laptop,Electronics,Corporate,11,51421,565631,67964,1.48,UPI
70234,19-03-2023,Massachusetts,East,Mouse,Accessories,Retail,10,18629,186290,10619,16.78,Credit Card
70235,25-01-2023,Pennsylvania,East,Mouse,Accessories,Retail,5,17561,87805,2700,12.06,Debit Card
70236,09-03-2023,Wisconsin,Central,Laptop,Electronics,Corporate,1,7928,7928,1611,9,Credit Card
70237,19-02-2023,North Carolina,South,Mouse,Accessories,Corporate,8,35479,283832,60993,6.62,UPI
70238,03-02-2023,Michigan,Central,Mouse,Accessories,Retail,11,49671,546381,66308,2.73,Debit Card
70239,28-11-2023,Arizona,West,Headphones,Accessories,Corporate,10,44396,443960,83442,26.45,Net Banking
70240,14-12-2023,Pennsylvania,East,Tablet,Electronics,Corporate,4,58631,234524,24914,13.73,UPI
70241,10-03-2023,North Carolina,South,Mouse,Accessories,Retail,10,31771,317710,17208,27.36,UPI
70242,19-08-2023,Wisconsin,Central,Tablet,Electronics,Retail,1,4300,4300,321,26.54,UPI
70243,06-04-2023,Illinois,Central,Laptop,Electronics,Online,10,58200,582000,31620,23.43,Net Banking
70244,06-05-2023,Florida,South,Laptop,Electronics,Online,4,50821,203284,49326,1.71,Debit Card
70245,09-09-2023,Ohio,Central,Headphones,Accessories,Corporate,2,39891,79782,1775,22.01,Credit Card
70246,03-03-2023,Illinois,Central,Mobile,Electronics,Retail,7,1831,12817,2892,20.53,Credit Card
70247,17-12-2023,New York,East,Mobile,Electronics,Retail,2,23703,47406,5450,20.24,Debit Card
70248,20-03-2023,Wisconsin,Central,Mobile,Electronics,Retail,9,24637,221733,-8187,2.34,Credit Card
70249,31-12-2023,Missouri,Central,Monitor,Electronics,Corporate,6,2963,17778,2515,15.77,UPI
70250,18-03-2023,Maryland,East,Tablet,Electronics,Corporate,1,23467,23467,5618,3.24,Credit Card
70251,03-05-2023,Wisconsin,Central,Mobile,Electronics,Corporate,1,43681,43681,5637,24.54,Net Banking
70252,20-12-2023,New Jersey,East,Mobile,Electronics,Online,8,45822,366576,45270,11.72,UPI
70253,09-01-2023,Washington,West,Headphones,Accessories,Corporate,9,49156,442404,-4768,11.42,Net Banking
70254,30-06-2023,Texas,South,Laptop,Electronics,Retail,4,18880,75520,8836,18.57,Debit Card
70255,05-04-2023,Virginia,East,Monitor,Electronics,Retail,8,24623,196984,6874,29.5,Net Banking
70256,20-12-2023,Wisconsin,Central,Keyboard,Accessories,Corporate,9,31227,281043,46968,2.32,Credit Card
70257,27-07-2023,Wisconsin,Central,Mouse,Accessories,Retail,4,10747,42988,-1644,12.66,Debit Card
70258,04-07-2023,Ohio,Central,Monitor,Electronics,Corporate,5,38516,192580,44955,12.15,UPI
70259,01-07-2023,Wisconsin,Central,Headphones,Accessories,Retail,8,56027,448216,74122,21.04,UPI
70260,04-02-2023,Washington,West,Mobile,Electronics,Corporate,10,18027,180270,27802,3.33,Credit Card
70261,26-09-2023,Maryland,East,Laptop,Electronics,Online,8,22351,178808,-5397,22.94,Net Banking
70262,18-09-2023,Ohio,Central,Tablet,Electronics,Corporate,10,11006,110060,14945,27.04,UPI
70263,14-02-2023,Maryland,East,Keyboard,Accessories,Retail,6,43027,258162,14433,2.9,Net Banking
70264,08-11-2023,New York,East,Mouse,Accessories,Corporate,9,10378,93402,24484,15.93,Credit Card
70265,04-10-2023,Massachusetts,East,Tablet,Electronics,Retail,7,18562,129934,38141,22.55,Credit Card
